일련번호,2018년 귀속(현행)업종코드,2019년 귀속(개편후)업종코드,국세청_대분류코드,국세청_대분류,국세청_중분류코드,국세청_중분류,국세청_소분류코드,국세청_소분류,국세청_세분류코드,국세청_세분류,국세청_세세분류,국세청_연계,KSIC10_코드,KSIC10_대분류코드,KSIC10_대분류,KSIC10_중분류코드,KSIC10_중분류,KSIC10_소분류코드,KSIC10_소분류,KSIC10_세분류코드,KSIC10_세분류,KSIC10_세세분류,KSIC10_연계,메인,세부설명,KSIC10_항목명,KSIC9_코드,KSIC9_항목명
1134,221100,221103,J,정보통신업,22,출판업,221,"서적, 잡지 및 기타 인쇄물 출판업",2211,서적 출판업,교과서 및 학습 서적 출판업,1,58111,J,정보통신업,58,출판업,581,"서적, 잡지 및 기타 인쇄물 출판업",5811,서적 출판업,교과서 및 학습 서적 출판업,1,,,교과서 및 학습서적 출판업,58111,교과서 및 학습서적 출판업
1135,221100,221104,J,정보통신업,22,출판업,221,"서적, 잡지 및 기타 인쇄물 출판업",2211,서적 출판업,만화 출판업,1,58112,J,정보통신업,58,출판업,581,"서적, 잡지 및 기타 인쇄물 출판업",5811,서적 출판업,만화 출판업,1,,,만화 출판업,58112,만화 출판업
1136,221200,221200,J,정보통신업,22,출판업,221,"서적, 잡지 및 기타 인쇄물 출판업",2212,"신문, 잡지 및 정기 간행물 출판업",잡지 및 정기 간행물 발행업,1,58122,J,정보통신업,58,출판업,581,"서적, 잡지 및 기타 인쇄물 출판업",5812,"신문, 잡지 및 정기 간행물 출판업",잡지 및 정기 간행물 발행업,1,,,잡지 및 정기간행물 발행업,58122,잡지 및 정기간행물 발행업
1137,221200,221201,J,정보통신업,22,출판업,221,"서적, 잡지 및 기타 인쇄물 출판업",2212,"신문, 잡지 및 정기 간행물 출판업",신문 발행업,1,58121,J,정보통신업,58,출판업,581,"서적, 잡지 및 기타 인쇄물 출판업",5812,"신문, 잡지 및 정기 간행물 출판업",신문 발행업,1,,,신문 발행업,58121,신문 발행업
1138,221200,221202,J,정보통신업,22,출판업,221,"서적, 잡지 및 기타 인쇄물 출판업",2212,"신문, 잡지 및 정기 간행물 출판업",정기 광고 간행물 발행업,1,58123,J,정보통신업,58,출판업,581,"서적, 잡지 및 기타 인쇄물 출판업",5812,"신문, 잡지 및 정기 간행물 출판업",정기 광고 간행물 발행업,1,,,정기 광고간행물 발행업,58123,정기 광고간행물 발행업
1139,221300,221300,J,정보통신업,22,영상ㆍ오디오 기록물 제작 및 배급업,221,오디오물 출판 및 원판 녹음업,2213,오디오물 출판 및 원판 녹음업,음악 및 기타 오디오물 출판업,1,59201,J,정보통신업,59,영상ㆍ오디오 기록물 제작 및 배급업,592,오디오물 출판 및 원판 녹음업,5920,오디오물 출판 및 원판 녹음업,음악 및 기타 오디오물 출판업,1,,,음악 및 기타 오디오물 출판업,59201,음악 및 기타 오디오물 출판업
1140,221900,221900,J,정보통신업,22,출판업,221,"서적, 잡지 및 기타 인쇄물 출판업",2219,기타 인쇄물 출판업,기타 인쇄물 출판업,1,58190,J,정보통신업,58,출판업,581,"서적, 잡지 및 기타 인쇄물 출판업",5819,기타 인쇄물 출판업,기타 인쇄물 출판업,1,,,기타 인쇄물 출판업,58190,기타 인쇄물 출판업
1141,641200,641200,J,정보통신업,64,우편 및 통신업,641,공영 우편업,6412,공영 우편업,공영 우편업,1,61100,J,정보통신업,61,우편 및 통신업,611,공영 우편업,6110,공영 우편업,공영 우편업,1,,,공영 우편업,61100,우편업
1142,642001,642001,J,정보통신업,64,우편 및 통신업,642,전기 통신업,6420,무선 및 위성 통신업,무선 및 위성 통신업,1,61220,J,정보통신업,61,우편 및 통신업,612,전기 통신업,6122,무선 및 위성 통신업,무선 및 위성 통신업,1,,,무선 및 위성통신업,61220,무선통신업
1142,642001,642001,J,정보통신업,64,우편 및 통신업,642,전기 통신업,6420,무선 및 위성 통신업,무선 및 위성 통신업,1,61220,J,정보통신업,61,우편 및 통신업,612,전기 통신업,6122,무선 및 위성 통신업,무선 및 위성 통신업,1,,,  ,61230,위성통신업
