,일련번호,2018년 귀속(현행)업종코드,2019년 귀속(개편후)업종코드,국세청_대분류코드,국세청_대분류,국세청_중분류코드,국세청_중분류,국세청_소분류코드,국세청_소분류,국세청_세분류코드,국세청_세분류,국세청_세세분류,국세청_연계,KSIC10_코드,KSIC10_대분류코드,KSIC10_대분류,KSIC10_중분류코드,KSIC10_중분류,KSIC10_소분류코드,KSIC10_소분류,KSIC10_세분류코드,KSIC10_세분류,KSIC10_세세분류,KSIC10_연계,메인,세부설명,KSIC10_항목명,KSIC9_코드,KSIC9_항목명,KSIC_CODE,산업명
39,36.0,101000.0,101000.0,B,광업,10.0,"석탄, 원유 및 천연가스 광업",101.0,석탄 광업,1010.0,석탄 광업,석탄 광업,1.0,5100.0,B,광업,5.0,"석탄, 원유 및 천연가스 광업",51.0,석탄 광업,510.0,석탄 광업,석탄 광업,2,1.0,,석탄 광업,5100.0,석탄 광업,B05,광업
40,37.0,101000.0,101001.0,B,광업,10.0,비금속광물 광업; 연료용 제외,101.0,기타 비금속광물 광업,1010.0,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,1.0,7290.0,B,광업,7.0,비금속광물 광업; 연료용 제외,72.0,기타 비금속광물 광업,729.0,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,4,,토탄,그 외 기타 비금속 광물 광업,7290.0,그 외 기타 비금속 광물 광업,B07,광업
41,38.0,131000.0,131000.0,B,광업,13.0,금속 광업,131.0,철 광업,1310.0,철 광업,철 광업,1.0,6100.0,B,광업,6.0,금속 광업,61.0,철 광업,610.0,철 광업,철 광업,2,1.0,,철 광업,6100.0,철 광업,B06,광업
42,39.0,131000.0,131003.0,B,광업,13.0,금속 광업,131.0,비철금속 광업,1310.0,비철금속 광업,비철금속 광업,1.0,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,620.0,비철금속 광업,비철금속 광업,4,,"텅스텐, 몰리브덴",비철금속 광업,6210.0,우라늄 및 토륨 광업,B06,광업
43,39.0,131000.0,131003.0,B,광업,13.0,금속 광업,131.0,비철금속 광업,1310.0,비철금속 광업,비철금속 광업,1.0,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,620.0,비철금속 광업,비철금속 광업,4,,"텅스텐, 몰리브덴",  ,6291.0,금ㆍ은 및 백금광업,B06,광업
44,39.0,131000.0,131003.0,B,광업,13.0,금속 광업,131.0,비철금속 광업,1310.0,비철금속 광업,비철금속 광업,1.0,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,620.0,비철금속 광업,비철금속 광업,4,,"텅스텐, 몰리브덴",  ,6292.0,연 및 아연광업,B06,광업
45,39.0,131000.0,131003.0,B,광업,13.0,금속 광업,131.0,비철금속 광업,1310.0,비철금속 광업,비철금속 광업,1.0,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,620.0,비철금속 광업,비철금속 광업,4,,"텅스텐, 몰리브덴",  ,6299.0,그 외 기타 비철금속 광업,B06,광업
46,40.0,132002.0,132002.0,B,광업,13.0,금속 광업,132.0,비철금속 광업,1320.0,비철금속 광업,비철금속 광업,1.0,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,620.0,비철금속 광업,비철금속 광업,4,,기타 비철금속,비철금속 광업,6210.0,우라늄 및 토륨 광업,B06,광업
47,40.0,132002.0,132002.0,B,광업,13.0,금속 광업,132.0,비철금속 광업,1320.0,비철금속 광업,비철금속 광업,1.0,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,620.0,비철금속 광업,비철금속 광업,4,,기타 비철금속,  ,6291.0,금ㆍ은 및 백금광업,B06,광업
48,40.0,132002.0,132002.0,B,광업,13.0,금속 광업,132.0,비철금속 광업,1320.0,비철금속 광업,비철금속 광업,1.0,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,620.0,비철금속 광업,비철금속 광업,4,,기타 비철금속,  ,6292.0,연 및 아연광업,B06,광업
49,40.0,132002.0,132002.0,B,광업,13.0,금속 광업,132.0,비철금속 광업,1320.0,비철금속 광업,비철금속 광업,1.0,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,620.0,비철금속 광업,비철금속 광업,4,,기타 비철금속,  ,6299.0,그 외 기타 비철금속 광업,B06,광업
50,41.0,132003.0,132003.0,B,광업,13.0,금속 광업,132.0,비철금속 광업,1320.0,비철금속 광업,비철금속 광업,1.0,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,620.0,비철금속 광업,비철금속 광업,4,1.0,"금ㆍ은 및 백금, 동광석",비철금속 광업,6210.0,우라늄 및 토륨 광업,B06,광업
51,41.0,132003.0,132003.0,B,광업,13.0,금속 광업,132.0,비철금속 광업,1320.0,비철금속 광업,비철금속 광업,1.0,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,620.0,비철금속 광업,비철금속 광업,4,1.0,"금ㆍ은 및 백금, 동광석",  ,6291.0,금ㆍ은 및 백금광업,B06,광업
52,41.0,132003.0,132003.0,B,광업,13.0,금속 광업,132.0,비철금속 광업,1320.0,비철금속 광업,비철금속 광업,1.0,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,620.0,비철금속 광업,비철금속 광업,4,1.0,"금ㆍ은 및 백금, 동광석",  ,6292.0,연 및 아연광업,B06,광업
53,41.0,132003.0,132003.0,B,광업,13.0,금속 광업,132.0,비철금속 광업,1320.0,비철금속 광업,비철금속 광업,1.0,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,620.0,비철금속 광업,비철금속 광업,4,1.0,"금ㆍ은 및 백금, 동광석",  ,6299.0,그 외 기타 비철금속 광업,B06,광업
54,42.0,141001.0,141001.0,B,광업,14.0,비금속광물 광업; 연료용 제외,141.0,토사석 광업,1410.0,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,1.0,7121.0,B,광업,7.0,비금속광물 광업; 연료용 제외,71.0,토사석 광업,712.0,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,3,2.0,건설용 석재 채굴,건설용 석재 채굴 및 쇄석 생산업,7121.0,건설용 석재 채굴업,B07,광업
55,42.0,141001.0,141001.0,B,광업,14.0,비금속광물 광업; 연료용 제외,141.0,토사석 광업,1410.0,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,1.0,7121.0,B,광업,7.0,비금속광물 광업; 연료용 제외,71.0,토사석 광업,712.0,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,3,2.0,건설용 석재 채굴,  ,7122.0,건설용 쇄석 생산업,B07,광업
56,43.0,141002.0,141002.0,B,광업,14.0,비금속광물 광업; 연료용 제외,141.0,토사석 광업,1410.0,석회석 및 점토 광업,석회석 및 점토 광업,1.0,7110.0,B,광업,7.0,비금속광물 광업; 연료용 제외,71.0,토사석 광업,711.0,석회석 및 점토 광업,석회석 및 점토 광업,2,1.0,,석회석 및 점토광업,7111.0,석회석 광업,B07,광업
57,43.0,141002.0,141002.0,B,광업,14.0,비금속광물 광업; 연료용 제외,141.0,토사석 광업,1410.0,석회석 및 점토 광업,석회석 및 점토 광업,1.0,7110.0,B,광업,7.0,비금속광물 광업; 연료용 제외,71.0,토사석 광업,711.0,석회석 및 점토 광업,석회석 및 점토 광업,2,1.0,,  ,7112.0,고령토 및 기타 점토 광업,B07,광업
58,44.0,141003.0,141003.0,B,광업,14.0,비금속광물 광업; 연료용 제외,141.0,토사석 광업,1410.0,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,1.0,7121.0,B,광업,7.0,비금속광물 광업; 연료용 제외,71.0,토사석 광업,712.0,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,3,2.0,건설용 쇄석 생산,건설용 석재 채굴 및 쇄석 생산업,7121.0,건설용 석재 채굴업,B07,광업
59,44.0,141003.0,141003.0,B,광업,14.0,비금속광물 광업; 연료용 제외,141.0,토사석 광업,1410.0,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,1.0,7121.0,B,광업,7.0,비금속광물 광업; 연료용 제외,71.0,토사석 광업,712.0,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,3,2.0,건설용 쇄석 생산,  ,7122.0,건설용 쇄석 생산업,B07,광업
