국세청_대분류코드,국세청_대분류,국세청_중분류코드,국세청_중분류,국세청_소분류코드,국세청_소분류,KSIC10_코드,KSIC10_대분류코드,KSIC10_대분류,KSIC10_중분류코드,KSIC10_중분류,KSIC10_소분류코드,KSIC10_소분류,KSIC9_코드,KSIC9_항목명,산업명,IPC_CODE
C,제조업,24.0,화학 물질 및 화학제품 제조업; 의약품 제외,241.0,합성고무 및 플라스틱 물질 제조업,20201.0,C,제조업,20.0,화학물질 및 화학제품 제조업; 의약품 제외,202.0,합성고무 및 플라스틱 물질 제조업,20301.0,합성고무 제조업,합성고무 및 플라스틱 물질 제조업,IC = (C08B* or C08F* or C08G* or C08J* or C08K* or C08L*)
C,제조업,24.0,화학 물질 및 화학제품 제조업; 의약품 제외,242.0,기타 화학제품 제조업,20413.0,C,제조업,20.0,화학물질 및 화학제품 제조업; 의약품 제외,204.0,기타 화학제품 제조업,20423.0,인쇄잉크 제조업,"잉크, 페인트 코팅제 및 유사제품 제조업",IC = (C09D*)
C,제조업,24.0,의료용 물질 및 의약품 제조업,242.0,의약품 제조업,21210.0,C,제조업,21.0,의료용 물질 및 의약품 제조업,212.0,의약품 제조업,21210.0,완제 의약품 제조업,의료용 물질 및 의약품 제조업,IC = (A61P* or C07D* or C07J* or C07K* or C12N* or C12P* or C12Q* or C12R* or (A61K* not (A61K-008*)))
C,제조업,24.0,의료용 물질 및 의약품 제조업,242.0,기초 의약 물질 및 생물학적 제제 제조업,21101.0,C,제조업,21.0,의료용 물질 및 의약품 제조업,211.0,기초 의약 물질 및 생물학적 제제 제조업,21101.0,의약용 화합물 및 항생물질 제조업,의료용 물질 및 의약품 제조업,IC = (A61P* or C07D* or C07J* or C07K* or C12N* or C12P* or C12Q* or C12R* or (A61K* not (A61K-008*)))
C,제조업,24.0,의료용 물질 및 의약품 제조업,242.0,의료용품 및 기타 의약 관련제품 제조업,21300.0,C,제조업,21.0,의료용 물질 및 의약품 제조업,213.0,의료용품 및 기타 의약 관련제품 제조업,21300.0,의료용품 및 기타 의약 관련제품 제조업,의료용 물질 및 의약품 제조업,IC = (A61P* or C07D* or C07J* or C07K* or C12N* or C12P* or C12Q* or C12R* or (A61K* not (A61K-008*)))
C,제조업,24.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",242.0,마그네틱 및 광학 매체 제조업,26600.0,C,제조업,26.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",266.0,마그네틱 및 광학 매체 제조업,26600.0,마그네틱 및 광학 매체 제조업,마그네틱 및 광학 매체 제조업,IC = (G11B*)
C,제조업,24.0,화학 물질 및 화학제품 제조업; 의약품 제외,243.0,화학섬유 제조업,20501.0,C,제조업,20.0,화학물질 및 화학제품 제조업; 의약품 제외,205.0,화학섬유 제조업,20501.0,합성섬유 제조업,화학섬유 제조업,IC = (D01C* or D01D* or D01F*)
C,제조업,25.0,고무 및 플라스틱제품 제조업,251.0,고무제품 제조업,22111.0,C,제조업,22.0,고무 및 플라스틱제품 제조업,221.0,고무제품 제조업,22111.0,타이어 및 튜브 제조업,고무제품 및 플라스틱 제품 제조업,IC = (B29B* or B29C* or B29D* or B29K* or B29L* or A42B-003* or B60C* or B65D* or B67D* or C08C* or F16L*)
C,제조업,25.0,고무 및 플라스틱제품 제조업,252.0,플라스틱 제품 제조업,22211.0,C,제조업,22.0,고무 및 플라스틱제품 제조업,222.0,플라스틱 제품 제조업,22211.0,"플라스틱 선, 봉, 관 및 호스 제조업",고무제품 및 플라스틱 제품 제조업,IC = (B29B* or B29C* or B29D* or B29K* or B29L* or A42B-003* or B60C* or B65D* or B67D* or C08C* or F16L*)
C,제조업,26.0,비금속 광물제품 제조업,261.0,유리 및 유리제품 제조업,23111.0,C,제조업,23.0,비금속 광물제품 제조업,231.0,유리 및 유리제품 제조업,23110.0,판유리 제조업,비금속광물제품 제조업,IC = (A47K* or B24D* or B28B* or B28C* or B28D* or B32B* or C01B* or C03B* or C03C* or C04B* or E03D* or E04B* or E04C* or E04D* or E04F*)
C,제조업,26.0,비금속 광물제품 제조업,269.0,"내화, 비내화 요업제품 제조업",23221.0,C,제조업,23.0,비금속 광물제품 제조업,232.0,"내화, 비내화 요업제품 제조업",23211.0,가정용 및 장식용 도자기 제조업,비금속광물제품 제조업,IC = (A47K* or B24D* or B28B* or B28C* or B28D* or B32B* or C01B* or C03B* or C03C* or C04B* or E03D* or E04B* or E04C* or E04D* or E04F*)
C,제조업,26.0,비금속 광물제품 제조업,269.0,"시멘트, 석회, 플라스터 및 그 제품 제조업",23311.0,C,제조업,23.0,비금속 광물제품 제조업,233.0,"시멘트, 석회, 플라스터 및 그 제품 제조업",23311.0,시멘트 제조업,비금속광물제품 제조업,IC = (A47K* or B24D* or B28B* or B28C* or B28D* or B32B* or C01B* or C03B* or C03C* or C04B* or E03D* or E04B* or E04C* or E04D* or E04F*)
